Entity,Code,Date,people_vaccinated_per_hundred
Georgia,GEO,2021-03-08,13.3
Georgia,GEO,2021-03-09,13.38
Guam,GUM,2021-01-12,0.24
Guam,GUM,2021-01-13,0.24
Guam,GUM,2021-01-14,2.28
Guam,GUM,2021-01-15,2.28
Guam,GUM,2021-01-19,2.28
Guam,GUM,2021-01-20,2.28
Guam,GUM,2021-01-21,2.28
Guam,GUM,2021-01-22,2.28
Guam,GUM,2021-01-23,2.28
Guam,GUM,2021-01-24,2.28
Guam,GUM,2021-01-25,2.28
Guam,GUM,2021-01-26,8.07
Guam,GUM,2021-01-27,8.61
Guam,GUM,2021-01-28,9.29
Guam,GUM,2021-01-29,10.1
Guam,GUM,2021-01-30,10.73
Guam,GUM,2021-01-31,10.73
Guam,GUM,2021-02-01,11.18
Guam,GUM,2021-02-02,11.88
Guam,GUM,2021-02-03,12.54
Guam,GUM,2021-02-04,12.54
Guam,GUM,2021-02-05,13.19
Guam,GUM,2021-02-06,13.99
Guam,GUM,2021-02-07,14.22
Guam,GUM,2021-02-08,14.29
Guam,GUM,2021-02-09,14.73
Guam,GUM,2021-02-10,15.27
Guam,GUM,2021-02-11,15.7
Guam,GUM,2021-02-12,16.11
Guam,GUM,2021-02-13,16.5
Guam,GUM,2021-02-14,16.68
Guam,GUM,2021-02-16,16.86
Guam,GUM,2021-02-17,17.17
Guam,GUM,2021-02-18,17.53
Guam,GUM,2021-02-19,18.96
Guam,GUM,2021-02-20,19.27
Guam,GUM,2021-02-21,19.32
Guam,GUM,2021-02-22,19.54
Guam,GUM,2021-02-23,19.79
Guam,GUM,2021-02-24,20.02
Guam,GUM,2021-02-25,20.32
Guam,GUM,2021-02-26,20.33
Guam,GUM,2021-02-27,20.64
Guam,GUM,2021-02-28,20.81
Guam,GUM,2021-03-01,20.81
Guam,GUM,2021-03-02,20.84
Guam,GUM,2021-03-03,20.85
Guam,GUM,2021-03-04,21.08
Guam,GUM,2021-03-05,21.16
Guam,GUM,2021-03-06,21.19
Guam,GUM,2021-03-07,21.19
Guam,GUM,2021-03-08,21.21
Guam,GUM,2021-03-09,21.52
Hawaii,,2021-01-15,2.8
Hawaii,,2021-01-19,3.72
Hawaii,,2021-01-20,4.1
Hawaii,,2021-01-21,4.47
